sample	arylpolyene	bacteriocin	butyrolactone	hserlactone	ladderane	lantipeptide	lassopeptide	linaridin	nrps	other	otherks	resorcinol	sactipeptide	siderophore	t1pks	t2pks	terpene	thiopeptide	transatpks
sim_meta-1	13.93011	47.201796	8.80078	0	9.66326	29.64591	0	0	70.04219	26.6877915	0	0.906511	0	0	24.217298	0	2.154849	0	29.31567
sim_meta-10	77.992916	77.024039	2.79429	0.121148	3.35394	30.184558	1.62381	0	24.5185608	2.9194857	3.49259	18.29944	3.94973	0.830618	1.08672	0	3.995193	0.102966	0
sim_meta-100	15.48581	123.69912	0	0	0	37.95986	0	0	0.0541556	49.096416	0	7.579711	13.7271	0	0	0	0	1.94214	0
sim_meta-101	100.097844	21.843582	14.51991	0	14.8014	30.57326	0	10.8657	120.027248	12.8457	0	24.373484	0	0	49.2253	0	12.51607	0	43.2065
sim_meta-102	139.537377	39.368788	3.23114	0.134587	0	43.7312	3.5770349	0	6.943189	5.734364	0	56.041791	0.160617	0	6.283528	0.123367	4.131983	7.21275	6.59773
sim_meta-103	42.810927	102.176884	0	1.14525	9.33518	26.49605	0	0	42.174213	1.1925251	9.38547	17.966219	23.4289	1.59639	1.7255	0	8.879588	0	0
sim_meta-104	114.784841	24.736717	0	0	5.31995	7.3632308	0	0	10.769752	44.40766	5.210433	35.799037	0	0	0	0	23.064	0.148019	0
sim_meta-105	82.364794	83.816197	0	6.61624	0	0	0	0	1.60509	0.347826	0	1.143072	0	0	0	0	154.306342	0	0
sim_meta-106	101.689323	83.628691	0	0	0	1.73263	0	0	4.268501	18.672803	0	23.495942	0	1.64305	2.538197	0	38.036321	0	0
sim_meta-107	17.188417	47.560343	0	3.146846	0	6.240202	6.55996	0	2.501644	5.6078454	0	5.8794434	0	1.11743	7.973779	0	13.972375	7.96229	7.28495
sim_meta-108	141.2060717	20.582659	7.37126	0	0	14.331722	0.092767	0	16.807908	20.084555	0.132164	43.3143665	0	0	18.531013	0	12.304922	10.613592	10.1023
sim_meta-109	225.123396	24.654286	0	0	0	13.149827	0.528018	0	3.844236	28.2829	1.05856	64.120897	11.0579	0	2.04605	0	0.803957	0.832862	0
sim_meta-11	48.323584	50.194749	0	0	0	22.10123	3.38659	0	28.016552	0.183221	0	19.295981	0	6.14232	3.99545	0	5.63336	0.176193	0
