sample	A.OX	AfsA	AMP.binding	ATd	Autoind_synth	Bacteriocin_II	Bacteriocin_IIc	Bacteriocin_IIi	bt1fas	Condensation	cypemycin	DUF692	fabH	fom1	Glyco_transf_28	Glycos_transf_1	Glycos_transf_2	hglE	IucA_IucC	L_biotic_typeA	Lactococcin_972	LANC_like	Lant_dehyd_C	Lant_dehyd_N	Linocin_M18	LipV	Lycopene_cycl	MGT	micJ25	NAD_binding_4	NapT7	Neocarzinostat	novH	PF00067	PF00106	PF02441	PF04820	PF13561	PF13575	phosphonates	phytoene_synt	phzB	PKS_AT	PKS_KS	PP.binding	spcDK_like_cou	spcDK_like_glyc	subtilosin	t2clf	t2fas	t2ks	tabtoxin	terpene_cyclase	Terpene_synth	Terpene_synth_C	TIGR03602	TIGR03603	TIGR03651	TIGR03731	TIGR03793	TIGR03798	TunD	YcaO
sim_meta-1	144	1	7225	94	0	0	1	0	171	1446	0	0	938	5	324	2524	3393	0	0	12	18	86	0	0	0	0	0	212	15	1464	1	0	0	181	1397	261	62	675	59	0	9	0	934	643	708	2	0	0	0	968	14	0	0	1	0	0	0	0	0	0	0	0	29
sim_meta-10	127	1	5973	0	0	0	4	0	68	151	0	0	1050	7	296	2136	3055	0	1	28	27	137	7	0	1	0	1	90	9	1633	1	0	0	164	1896	265	193	922	70	0	13	0	705	42	448	2	4	16	0	1490	0	0	0	0	0	0	0	7	0	0	0	0	60
sim_meta-100	223	0	8558	0	0	0	131	0	123	19	0	3	933	11	369	2571	3200	0	0	3	24	77	21	5	0	0	0	67	6	1934	12	0	0	754	2449	268	190	787	0	0	0	0	732	2	481	3	0	52	0	1008	0	0	0	0	1	0	0	0	0	0	0	0	25
sim_meta-101	83	12	9691	150	0	0	0	0	62	2511	0	17	987	17	305	2018	3126	0	0	0	2	160	0	0	0	0	0	294	14	1418	0	0	0	161	1514	230	169	793	167	0	37	0	1146	1096	999	0	0	0	0	1573	4	0	0	0	0	0	0	0	0	0	0	0	9
sim_meta-102	168	0	6584	14	0	0	10	1	101	69	0	2	921	9	350	2471	3718	13	0	45	8	147	9	0	0	0	0	57	9	1412	5	0	0	219	1539	288	207	784	136	0	11	4	708	540	449	3	3	0	0	1669	4	0	0	0	0	0	23	0	3	0	0	1	76
sim_meta-103	182	0	6855	0	1	0	40	3	130	264	0	9	949	5	278	1949	2815	0	5	0	18	132	19	13	0	0	0	24	24	1546	1	0	0	149	2301	283	164	1204	3	0	25	0	755	79	425	1	0	110	0	1388	4	0	0	0	0	0	0	16	0	0	0	0	113
sim_meta-104	168	0	6337	0	0	0	1	0	93	106	0	25	1143	5	330	2465	3261	0	0	0	2	2	1	0	0	0	0	58	5	1828	3	0	0	373	1653	309	271	659	0	0	59	0	648	40	432	0	0	0	0	1394	0	0	0	0	0	0	0	0	0	0	0	1	4
sim_meta-105	14	0	3901	0	5	0	0	0	0	12	0	346	828	8	325	2082	2152	0	0	0	0	27	6	0	0	0	0	52	1	1250	0	0	0	151	1310	454	523	817	0	0	608	0	698	15	420	0	0	0	0	1880	7	0	0	0	0	0	0	0	0	0	0	0	41
sim_meta-106	159	0	5112	0	0	0	20	0	21	43	0	67	955	8	347	2667	2550	0	7	0	25	10	0	0	0	0	0	36	12	1415	1	0	0	179	1365	224	240	845	4	0	122	0	729	15	510	1	0	0	0	1744	13	0	0	0	0	0	4	0	0	0	0	0	4
sim_meta-107	128	0	7327	16	1	0	0	0	336	45	0	20	708	6	346	2431	3959	16	4	0	17	60	10	0	0	0	0	126	8	1355	5	0	0	118	1314	267	145	480	49	0	43	7	822	563	378	4	2	0	0	834	7	0	0	0	0	0	0	0	0	0	0	0	64
