sample	amglyccycl	arylpolyene	bacteriocin	butyrolactone	ectoine	hserlactone	indole	ladderane	lantipeptide	lassopeptide	melanin	microcin	nrps	oligosaccharide	other	otherks	phenazine	phosphonate	resorcinol	sactipeptide	siderophore	t1pks	t2pks	t3pks	terpene	thiopeptide	transatpks
sim_meta-1	2.83951	2.0876984	22.4223697	0	0	0	0	26.18774	91.5351142	14.5269	0	0	206.9406532	0	44.218305	0	0	2.55289	0.0923675	0	12.696063	69.8038346	0	2.75083	49.7466366	0	77.8001
sim_meta-10	0	38.429174	36.5313802	0	0.778185	8.033798	3.51615	0	4.592948	0	0	0	20.680414895	0	18.5550672	0	0.841621	0	4.2896	7.64469	19.297409	7.886814295	3.63589	4.19925	13.619733	0	0
sim_meta-100	0	3.359613	36.509903	0.341925	12.4098	0.35631	0	8.95821	9.231708	0	0	0	39.732038	0	17.541998	0	0	0	0	0	7.09378	1.1902126	0	0	29.386621	0	0
sim_meta-101	3.8938	21.619906	13.67037	0	0	1.2493341	0	3.51816	15.037086	0.263317	0	0	60.10790965	0	14.82391795	0	0.57926	3.27758	1.301551	0	18.13787348	0	0	3.89433	11.600809	0	14.27444
sim_meta-102	0	4.886012	31.89448	0.366515	0	4.281048	0	1.99699	9.787492	0.376398	0	23.1766629	22.3262739	0	2.280954	0	0	0	3.337675	0	3.290261	0.127277	0	0	14.8405689	0	0
sim_meta-103	0	3.383614	16.046135	0	0	0.610334	0	0	0	0	0	0	3.14518253	0	1.39013	0	0	0	0.466772	0	1.22220253	0.310189	0	0	0.451863	0	0
sim_meta-104	0	26.94874	44.015047	0.365659	0	3.548092	0	3.612413	0.90604	0.1290282	0	0	29.94749783	0	5.112831	0	0.4203988	0	8.782608	0	1.2289476	9.2027043	0	3.21297	76.271039	0	0
sim_meta-105	0	0	38.7748069	0	0	16.167178	0	0	20.8216	9.0145	0	0	20.4005123	0	44.0957994	0	0	0	0	0	6.411262	0	0	0	9.950063	0	0
sim_meta-106	2.86521	0.875764	50.521799	0	12.3402	10.842858	8.51232	2.79345	8.51232	0	0	0	18.7649208	0	51.158396	0	0	2.19003	39.8096	0	45.964666	19.06856	8.8777	12.37021	44.183908	0	11.06717
sim_meta-107	0	1.462715	36.4433476	0.784623	0	3.350028	0	0.866901	0.0358848	32.7601	0	102.699	19.1278957	0	21.776272	0	0	0	0	0	1.8420383	18.312917	0	3.37232	41.892988	0	0
sim_meta-108	0	6.65006	1.5877441	0	0	0	0	1.03769	1.913902	0.141154	0	0	23.096728	0	15.36416	0	0	0	0	0	0.2313634	0	0	0	24.66917083	0	0
sim_meta-109	0	62.1115729	8.587125	0	0	0	0	0	60.9282	10.9585	0	36.3921	10.134529	0	5.90327	0	0	0	17.2272	0	8.3789933	3.10204	0	0	0.202408	0	0
sim_meta-11	0	0.23736614	43.4447496	0	0	5.0255451	3.90559	2.05359	11.602491	0	0	0	39.6623572	0	16.8180924	0	0	0	5.303617	0	6.427357	10.0934816	4.25654	4.69739	43.1776	0	0
sim_meta-110	0	42.92373718	7.30802432	0	1.08905	1.7467295	0	0	20.4959751	0	0	40.9354	24.3569847	0	19.2828634	0	1.33467	0	10.3105	8.10804	2.6278316	23.201578	0	0	15.4339196	0	0
