sample	A.OX	AfsA	AMP.binding	ATd	Autoind_synth	Bacteriocin_II	Bacteriocin_IIc	bt1fas	CaiA	Chal_sti_synt_C	Chal_sti_synt_N	Cloacin	Condensation	cycdipepsynth	DOIS	DUF692	ectoine_synt	fabH	fom1	Gallidermin	Glyco_transf_28	Glycos_transf_1	Glycos_transf_2	hglD	hglE	IucA_IucC	Lactococcin_972	LANC_like	Lant_dehyd_C	Lant_dehyd_N	lasso	LE.DUF	Linocin_M18	LmbU	Lycopene_cycl	melC	MGT	micJ25	NAD_binding_4	NapT7	neoL_like	PF00067	PF00106	PF02441	PF04820	PF13561	PF13575	phosphonates	phytoene_synt	phzB	PKS_AT	PKS_KS	PP.binding	spcDK_like_cou	spcDK_like_glyc	strepbact	strK_like1	strK_like2	subtilosin	t2clf	t2fas	t2ks	tabtoxin	terpene_cyclase	Terpene_synth_C	TIGR03603	TIGR03604	TIGR03605	TIGR03651	TIGR03693	TIGR03731	TIGR03793	TIGR03798	TIGR03882	TIGR03975	ToyB	TunD	YcaO
sim_meta-1	146	0	12384	292	0	1	0	109	0	3	10	0	4568	0	9	2	0	864	0	0	258	1932	2745	0	0	50	0	205	2	0	0	0	0	0	0	0	443	32	1217	11	20	216	2235	375	69	1177	146	17	155	0	1538	1825	1458	0	0	0	0	0	0	0	1089	0	1	1	0	0	2	0	0	24	0	1	2	0	0	0	0	16
sim_meta-10	88	0	6924	0	7	0	0	72	0	3	14	0	103	0	0	34	1	695	2	0	225	2378	2895	0	0	153	0	48	0	2	0	0	11	0	3	0	134	14	1193	0	0	228	2084	304	142	1413	0	0	38	3	680	118	381	1	0	0	0	0	39	0	1275	1	0	14	0	14	0	3	9	0	0	0	2	9	14	0	0	151
sim_meta-100	75	0	9926	0	0	0	0	104	0	0	0	0	499	0	0	15	16	646	3	0	215	3089	3062	0	0	42	0	50	11	11	0	0	58	0	0	0	20	3	1354	5	0	127	1590	213	160	1031	1	0	78	0	539	18	307	0	1	0	0	0	0	0	643	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	52
sim_meta-101	99	0	6486	34	0	0	0	0	0	5	13	0	899	0	11	3	0	748	0	0	282	1951	2739	0	0	140	0	53	0	0	0	0	0	0	0	0	119	3	1393	0	20	244	2118	389	104	1475	23	16	15	1	672	141	499	0	0	0	0	0	0	0	1307	0	2	4	0	0	2	0	6	35	0	1	1	0	0	0	1	115
sim_meta-102	28	0	4938	0	8	0	0	70	0	0	0	1	107	0	0	37	0	771	0	0	280	1718	2688	0	0	21	1	26	0	1	0	0	2	0	1	0	4	9	1282	1	0	125	1459	434	78	799	10	0	60	0	689	0	299	0	0	0	0	0	0	0	1084	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	39
sim_meta-103	20	0	5001	0	2	0	0	0	0	0	0	0	11	0	0	4	0	682	14	0	277	1818	2853	0	0	13	0	5	0	0	0	0	0	0	1	0	15	3	1871	0	0	132	1581	285	61	841	0	0	8	0	510	1	202	4	1	0	0	0	0	0	826	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	14
sim_meta-104	108	0	6847	0	5	0	0	112	0	4	7	0	195	2	0	14	0	616	0	0	270	1898	2954	0	0	7	0	27	0	0	0	0	46	0	0	0	1	8	1408	0	0	208	2001	223	151	1159	1	0	89	1	581	60	338	6	0	0	0	0	0	0	1082	1	0	0	0	0	0	0	1	0	0	0	3	0	0	1	0	34
sim_meta-105	71	0	7526	0	30	0	0	245	0	0	0	0	121	0	0	115	0	823	0	0	300	1804	2252	0	0	37	1	31	0	0	0	0	6	0	32	0	13	27	1501	0	0	174	1745	297	640	944	55	0	26	0	644	0	268	0	0	0	0	0	0	0	729	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	98
sim_meta-106	192	0	11415	28	17	0	0	22	0	8	29	0	536	0	10	60	17	878	0	0	239	2034	1894	0	0	217	0	2	0	6	0	0	0	0	0	0	151	4	1320	7	15	486	2319	405	202	1708	0	13	120	0	802	417	392	2	0	0	2	0	0	0	1250	0	3	30	0	0	3	0	4	19	0	1	3	16	26	0	0	297
sim_meta-107	252	0	7232	0	2	0	0	152	0	2	7	0	141	0	0	76	0	812	17	0	290	2899	2786	0	0	12	0	24	0	0	0	0	4	0	70	0	5	8	1377	10	0	314	2396	334	440	1548	1	0	127	0	663	130	362	0	0	0	0	0	0	0	912	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	16
