sample	amglyccycl	arylpolyene	bacteriocin	blactam	butyrolactone	cyanobactin	ectoine	fused	head_to_tail	hserlactone	indole	ladderane	lantipeptide	lassopeptide	microviridin	nrps	oligosaccharide	other	otherks	phenazine	phosphonate	proteusin	PUFA	resorcinol	sactipeptide	siderophore	t1pks	t2pks	t3pks	terpene	thiopeptide	transatpks
sim_meta-1	3.17636	31.53744	108.671825	0	3.34352	0	15.90506	3.19196	0	19.65368	6.34216	3.49603	28.163257	18.70894	0	80.525214	2.7098	32.605817	21.514566	2.02886	0	1.96727	8.75913	5.88931	0	26.56029	54.526485	3.34871	13.745107	80.09793	3.27127	5.42393
sim_meta-10	3.17825	28.19702	116.498927	0	6.67207	2.94309	26.9165	3.16014	0	26.406941	0	0	25.127423	9.305424	0	60.020708	0	36.674203	0	0	1.94088	0	0	11.01151	0.667258	16.987536	45.241563	9.678949	29.812607	93.365944	4.43393	2.98249
sim_meta-100	0	23.70082	105.248841	0	4.01665	0	8.746737	0	0	8.396833	0	0	30.87101	17.23128	0	187.67467	0	32.389354	5.23574	0	0	0	2.47551	12.7767	0	3.723317	94.200694	0	15.23881	120.086286	0	1.98186
sim_meta-101	0	15.81728	101.912839	0	2.08535	0	22.49161	0	0	30.096348	0	0	8.380914	13.24137	0	64.728662	0	33.093599	11.259159	0	0	0	4.81019	0	0.454584	15.160346	15.766483	0	13.184765	76.463754	0.390021	0.706669
sim_meta-102	0	36.98957	46.548482	4.42705	0.830603	3.18753	27.703306	0	0	32.096823	4.13124	13.42313	17.61863	7.875888	0	103.878201	0	24.149454	18.323641	0	0	0	3.25933	9.657191	0	11.712999	59.021723	8.88045	35.179578	112.554974	0	8.17779
sim_meta-103	0	16.60937	43.845301	0	3.60946	3.17576	19.32043	0	0	11.036823	0	0	52.04603	0	0	82.471212	0	18.256558	22.07929	0	0	0	8.60892	20.06029	2.6688	0.870826	57.604803	0	19.765067	74.467913	0	2.24665
sim_meta-104	0	26.423837	109.225863	0	2.85815	5.43717	30.80358	0	0	31.052965	0	1.27382	22.30168	13.76302	0	104.536023	0	40.803873	11.93173	5.32343	2.58842	0	8.12218	3.684567	0	11.10516	67.931155	0	16.20876	89.026534	0	0
sim_meta-105	0	46.49488	121.461967	0	0	0	3.83671	0	0	47.84099	0	0	0.553878	11.89361	0	58.129349	0	0.468152	18.49599	0	3.82032	0	13.37924	7.05044	0.519972	13.78191	22.841608	0	28.16748	101.975173	0	5.57545
sim_meta-106	0	25.06882	121.834015	0	0	0	22.52763	0	0	37.468859	0	0	15.831209	17.36607	0	33.0229242	0	13.224943	12.04948	0	0	0.769652	9.88739	2.20942	0	14.153284	18.991906	0	14.683345	87.728174	0	0
sim_meta-107	0.825021	34.11217	112.809377	2.45911	4.659997	0	27.263695	0	0	19.439106	2.65631	5.56017	10.958851	16.11383	0	71.377604	0	33.44749	6.456131	2.59475	0	0	1.78791	12.68809	6.38979	19.13127	33.820844	2.79501	18.44942	95.208541	0	3.8432
