sample	amglyccycl	arylpolyene	bacteriocin	blactam	butyrolactone	cyanobactin	ectoine	hserlactone	indole	ladderane	lantipeptide	lassopeptide	linaridin	melanin	microviridin	nrps	nucleoside	oligosaccharide	other	otherks	phenazine	phosphonate	proteusin	PUFA	resorcinol	sactipeptide	siderophore	t1pks	t2pks	t3pks	terpene	thiopeptide	transatpks
sim_meta-1	0	27.61487	70.966597	0	0	0	14.546692	43.400232	0	0	23.11746	3.85562	0	0	0	104.590024	5.98328	0	41.220589	1.999329	4.90742	21.29774	0	0	4.60907	0	23.18465	58.870168	0	36.94303	103.016517	8.04917	7.23219
sim_meta-10	0	33.6776	45.27084	0	1.22939	0	8.780773	28.899852	0	5.650793	0.271453	3.34662	0	0	0	67.384613	0	0	35.572774	10.712008	0	2.75715	0.748374	0	15.44275	0	19.505865	29.141183	5.661793	19.846108	83.260782	1.40091	0
sim_meta-100	2.42001	14.775162	86.36178	0	4.7818	1.16664	28.744819	16.58096	5.19705	1.82778	21.02159	4.59191	2.57308	2.52406	3.68623	108.643376	1.6039	1.87643	48.376258	9.34313	4.11673	3.9332	0	0	7.42266	0	28.151632	76.061456	1.87643	19.51507	115.69089	2.64508	3.74708
sim_meta-101	0	27.686191	61.023537	0	10.69877	0	5.819165	36.68204	0	1.24202	19.803482	11.22955	0	0	0	110.007356	0	0	30.927149	6.601989	0	9.68911	0	0.853449	7.60011	0	35.567438	59.176254	0	35.182566	93.5885	7.42156	3.73274
sim_meta-102	0	45.805402	88.076181	1.52019	2.80379	0	12.5080717	42.044073	1.5476	4.38642	16.996801	6.390032	0	0	3.863267	87.990886	0	0	46.935106	8.00158	0	8.48746	0	0	22.6494	0	19.100239	44.473881	4.0025	20.130227	109.539881	0	2.357475
sim_meta-103	3.58759	28.233242	58.225497	0	0	0	12.93559	29.56232	0	3.37768	32.88611	5.90616	0	3.59918	0	104.912312	0	0	57.290194	13.414981	2.14074	0	0.976504	0.743631	12.0547	0	30.824096	35.27291	0.702143	21.893201	104.832927	4.172907	0
sim_meta-104	0	51.877946	101.517136	0	2.48296	0	0.569314	42.257893	0	2.19554	22.24481	6.12997	0	0	1.86507	107.069185	0	0	56.549893	1.9785	3.06394	7.00587	0.822057	0	20.56038	2.01183	27.622928	46.464195	4.61665	21.492072	91.401877	2.77657	3.16762
sim_meta-105	0	39.57756	53.38474	0	0	0	12.13848	30.6995	0	0	0	3.04113	0	0	0	35.08553	0	0	57.43472	1.48717	0	0	0	0	20.34542	0	21.88151	23.76503	0	12.99108	99.32949	0	0
sim_meta-106	0	24.37547	111.1858282	0	5.29455	3.10805	14.9079	39.824083	0	2.55743	31.3101	17.24064	0	0	0	109.591433	0	0	24.03924	9.43592	0	3.5581	0	0	13.7392	0	27.69452	42.41671	0	18.83788	109.878018	3.29646	3.13455
sim_meta-107	1.15879	24.142973	78.628031	0	3.133352	0	14.65973	42.624523	4.09045	0	18.56583	11.751328	0	0	0	60.810687	4.48984	0	39.719849	5.519662	0	1.95314	0	0	3.38993	0	31.811315	71.177092	3.499889	24.305726	104.15487	3.18053	0
sim_meta-108	0	33.246511	56.963088	0	3.82761	0	9.127238	36.992706	0	7.54066	13.97622	4.30179	2.492363	0	0.893044	100.03698	0	0	29.5141501	9.3525	0	2.18894	0	4.93565	7.77046	0	23.94369653	27.610364	0	9.35126	66.9047649	4.00092747	0
sim_meta-109	5.26306	34.985821	90.503026	0	0	0	7.147115	28.916468	0	3.77893	23.20526	5.43652	1.84629	4.85622	4.12961	145.1680754	2.95853	0	12.31520247	11.50484	4.23695	7.96078	0	0	6.24303	0	10.63563583	58.682677	0	23.872908	76.3354832	16.47517278	7.33554
sim_meta-11	0	19.02129	60.633897	0	8.88124	0	20.10376	43.076494	6.66218	11.7611	17.785955	5.49691	0	0	0	124.697927	2.86794	3.60455	56.070539	17.40117	0	1.19499	0	0	2.19148	0	34.847818	55.519068	14.64245	19.544369	114.041313	0	0
sim_meta-110	0	17.274109	43.1223753	0	0	0	14.1871621	29.385119	0	2.646062	10.81438	18.995684	0	0	2.52266	53.61027	0	0	18.08084	14.17198	0	0.936788	0	1.62083	8.51542	0	13.87522	20.75863	0	19.925993	96.629256	2.14879	2.53249
sim_meta-111	1.53291	27.389583	73.301526	0	0	0	7.58871	14.210167	5.41024	6.36274	19.441892	6.26806	0	1.64869	0.202662	97.914262	0	0	29.969401	7.201972	0	7.284347	0	0	2.80591	2.14863	25.6913807	57.531841	2.98311	15.352807	86.453467	5.091306	6.939465
sim_meta-112	0	33.70097	60.111393	0	3.274012	0	11.904995	34.010722	2.36289	1.82712	41.95251	6.578524	0.349515	0	0	93.2997	4.63034	0	25.20927	12.78174	0	3.97681	0	0	8.95438	0	16.334661	66.305405	0	7.988341	96.602282	3.39673	0
sim_meta-113	0	26.708821	73.827174	0	0	0	7.602441	53.877875	0	3.29560373	6.69441	18.068171	0	0	3.43733	65.40350982	0	0	38.602995	16.899256	5.41375	9.55362	0	0	11.978311	0	11.23948717	41.77177135	3.16632	31.099556	125.757854	3.669894	6.44307
