sample	A.OX	AfsA	AMP.binding	ATd	Autoind_synth	Bacteriocin_II	BLS	botH	bt1fas	CAS	Chal_sti_synt_C	Chal_sti_synt_N	Cloacin	Condensation	cyanobactin_synth	cycdipepsynth	DUF1205	DUF692	ectoine_synt	fabH	fom1	ft1fas	Glyco_transf_28	Glycos_transf_1	Glycos_transf_2	goadsporin_like	hglD	hglE	indsynth	IucA_IucC	L_biotic_typeA	Lactococcin_972	LANC_like	Lant_dehyd_C	Lant_dehyd_N	Linocin_M18	LipM	LipV	LmbU	Lycopene_cycl	MGT	micJ25	mvd_mst	NAD_binding_4	NapT7	Neocarzinostat	novH	PF00067	PF00106	PF02441	PF04820	PF13561	PF13575	phosphonates	phytoene_synt	phzB	PKS_AT	PKS_KS	PP.binding	prnB	salQ	spcDK_like_cou	spcDK_like_glyc	strK_like1	strK_like2	subtilosin	t2clf	t2fas	t2ks	t2ks2	tabtoxin	terpene_cyclase	Terpene_synth_C	thiostrepton	TIGR03604	TIGR03651	TIGR03731	TIGR03793	TIGR03795	TIGR03798	TIGR03882	TIGR03975	TIGR04363	ToyB	TunD	vlmB	YcaO
sim_meta-1	315	0	15501	7	60	0	0	1	0	0	48	67	0	3434	0	0	0	98	34	894	0	0	231	2237	2430	2	7	1	0	85	0	0	11	6	10	14	0	0	0	20	41	24	0	1419	7	0	0	423	2806	307	240	1809	0	47	202	2	826	921	890	0	0	3	2	0	0	0	16	1456	5	0	0	65	0	0	0	0	0	0	0	0	0	0	0	4	0	0	116
sim_meta-10	264	0	12681	0	48	0	0	0	13	0	27	20	0	621	0	0	0	55	9	771	0	0	209	2348	2404	2	25	39	0	93	0	0	0	0	0	2	0	0	0	45	155	16	0	1291	2	0	0	588	3585	327	434	2181	2	12	270	0	610	236	401	6	0	6	2	0	0	0	32	1333	43	0	0	26	0	0	0	6	0	0	0	1	3	5	0	3	0	0	204
sim_meta-100	347	6	16585	33	21	0	0	2	0	0	39	31	0	1634	5	0	0	133	49	597	0	0	181	2383	2147	0	22	30	3	86	0	0	77	55	13	23	7	0	0	64	275	14	8	1363	11	0	0	1321	3656	277	497	1892	42	14	262	7	1217	1517	698	0	11	0	4	4	0	0	22	1081	16	0	3	74	74	0	0	1	0	0	0	0	6	54	0	0	2	0	233
sim_meta-101	346	4	17167	4	59	0	0	0	0	0	44	48	0	2173	0	0	0	100	8	675	0	0	165	2322	2247	0	3	34	0	150	0	0	19	4	2	35	0	0	0	24	211	30	0	1374	3	0	0	531	3353	294	273	2133	0	25	268	0	778	696	749	0	0	2	1	0	0	0	2	1281	2	0	0	33	1	0	0	0	0	0	0	0	0	0	0	0	0	0	167
sim_meta-102	263	0	14074	7	61	0	6	0	16	3	18	31	1	974	0	0	0	173	20	759	0	0	176	2166	2176	0	11	43	0	90	0	1	3	8	1	6	0	0	0	65	154	24	5	1302	1	0	0	608	3864	304	516	2281	5	25	338	0	647	486	455	7	0	0	1	0	0	0	10	1403	17	0	0	62	0	0	0	4	0	0	0	4	1	4	0	0	0	0	97
sim_meta-103	436	0	15832	0	34	0	0	0	4	0	42	42	0	1685	0	0	0	84	17	659	0	0	188	2331	2356	0	13	36	0	136	0	0	28	70	12	3	0	0	0	27	122	9	0	1242	9	0	1	572	3721	314	378	2213	29	0	254	3	758	629	668	0	18	4	4	3	0	0	11	1408	3	3	2	43	6	0	0	1	0	0	0	1	0	63	0	0	1	0	149
sim_meta-104	382	0	14966	7	55	0	0	0	36	0	24	38	0	2356	0	0	0	79	0	683	0	0	153	1956	2030	0	0	15	0	114	0	2	24	10	7	7	0	0	0	48	145	32	3	1308	2	0	0	388	3564	294	383	2157	19	18	269	2	739	598	732	15	0	3	0	1	0	5	1	1434	7	0	0	13	0	0	1	5	0	0	0	0	0	6	0	1	0	0	115
sim_meta-105	326	0	12148	0	69	4	0	0	46	0	29	20	0	202	0	0	0	54	14	546	0	0	157	2556	2269	0	0	8	0	131	0	0	4	0	0	40	0	0	0	18	141	15	0	1327	3	0	0	515	3443	346	710	2241	0	0	278	0	541	174	338	0	0	1	1	0	0	0	7	1426	3	0	1	32	0	0	0	3	0	0	0	0	0	13	0	4	1	0	112
sim_meta-106	285	4	16434	5	61	0	0	0	22	0	24	17	0	2340	18	0	0	122	16	641	0	0	212	2195	2268	0	0	29	0	132	0	0	16	8	6	3	0	0	0	12	134	29	0	1253	3	0	0	489	2961	360	478	1885	2	5	344	0	679	490	712	0	0	1	1	0	0	0	0	1259	4	6	0	69	0	0	0	0	1	0	0	1	0	0	0	0	0	0	94
sim_meta-107	408	0	13773	7	82	0	0	0	7	0	27	35	0	991	0	4	3	93	19	652	0	0	179	2346	2352	1	0	31	0	171	0	0	24	27	7	13	5	1	0	26	287	14	0	1193	20	0	0	1122	3691	282	675	2031	19	10	221	0	1200	1101	599	0	4	4	0	0	0	0	25	1398	17	1	3	78	24	0	0	4	0	0	0	2	10	0	0	0	6	8	195
