class	domain
PUFA	PUFA_KS
amglyccycl	DOIS
amglyccycl	neoL_like
amglyccycl	salQ
amglyccycl	spcDK_like_glyc
amglyccycl	spcFG_like
amglyccycl	strH_like
amglyccycl	strK_like1
amglyccycl	strK_like2
amglyccycl	valA_like
aminocoumarin	novH
aminocoumarin	novI
aminocoumarin	novJ
aminocoumarin	novK
aminocoumarin	spcDK_like_cou
arylpolyene	APE_KS1
arylpolyene	APE_KS2
bacteriocin	Antimicrobial14
bacteriocin	Antimicrobial17
bacteriocin	BacteriocIIc_cy
bacteriocin	Bacteriocin_II
bacteriocin	Bacteriocin_IIc
bacteriocin	Bacteriocin_IId
bacteriocin	Bacteriocin_IIi
bacteriocin	Bacteriocin_IIi
bacteriocin	Cloacin
bacteriocin	DUF692
bacteriocin	Lactococcin
bacteriocin	Lactococcin_972
bacteriocin	LcnG.beta
bacteriocin	Linocin_M18
bacteriocin	strepbact
bacteriocin	TIGR03601
bacteriocin	TIGR03602
bacteriocin	TIGR03603
bacteriocin	TIGR03604
bacteriocin	TIGR03605
bacteriocin	TIGR03651
bacteriocin	TIGR03678
bacteriocin	TIGR03693
bacteriocin	TIGR03793
bacteriocin	TIGR03795
bacteriocin	TIGR03798
bacteriocin	TIGR03882
bacteriocin	TIGR03975
blactam	BLS
blactam	CAS
blactam	tabtoxin
bottromycin	botH
butyrolactone	AfsA
cf_fatty_acid	bt1fas
cf_fatty_acid	fabH
cf_fatty_acid	ft1fas
cf_fatty_acid	t2fas
cf_saccharide	Glycos_transf_1
cf_saccharide	Glycos_transf_2
cf_saccharide	Glyco_transf_28
cf_saccharide	PF00128
cf_saccharide	PF00908
cf_saccharide	PF00953
cf_saccharide	PF01041
cf_saccharide	PF01050
cf_saccharide	PF01075
cf_saccharide	PF01501
cf_saccharide	PF01943
cf_saccharide	PF02350
cf_saccharide	PF02397
cf_saccharide	PF02563
cf_saccharide	PF02585
cf_saccharide	PF02719
cf_saccharide	PF02806
cf_saccharide	PF02922
cf_saccharide	PF04101
cf_saccharide	PF04321
cf_saccharide	PF04932
cf_saccharide	PF05159
cf_saccharide	PF08437
cyanobactin	cyanobactin_synth
ectoine	ectoine_synt
furan	mmyO
fused	pgm1
fused	pgm_amidino
glycocin	glycocin
glycocin	sublancin
head_to_tail	skfc
head_to_tail	Subtilosin_A
hserlactone	Autoind_synth
indole	dmat
indole	indole_PTase
indole	indsynth
ladderane	ladderane
lantipeptide	PF00106
lantipeptide	PF13561
lantipeptide	Antimicrobial18
lantipeptide	PF13575
lantipeptide	PF02441
lantipeptide	Gallidermin
lantipeptide	LE.DUF
lantipeptide	MA.DUF
lantipeptide	LANC_like
lantipeptide	Lant_dehyd_C
lantipeptide	Lant_dehyd_N
lantipeptide	L_biotic_typeA
lantipeptide	TIGR04363
lantipeptide	LE.LanBC
lantipeptide	LE.LAC481
lantipeptide	LE.MER+2PEP
lantipeptide	MA.NIS
lantipeptide	MA.NIS+EPI
lantipeptide	MA.EPI
lantipeptide	MA.LAC481
lantipeptide	MA.2PEPA
lantipeptide	MA.2PEPB
lantipeptide	PF00067
lantipeptide	PF00069
lantipeptide	strep_PEQAXS
lantipeptide	TIGR03731
lantipeptide	PF04820
lassopeptide	PF00733
lassopeptide	PF13471
linaridin	cypemycin
linaridin	cypI
melanin	melC
microcin	mcjC
microcin	micJ25
microviridin	mvd_mst
microviridin	mvnA
nrps	AMP.binding
nrps	A.OX
nrps	Condensation
nucleoside	LipM
nucleoside	LipU
nucleoside	LipV
nucleoside	nikJ
nucleoside	nikO
nucleoside	pur10
nucleoside	pur6
nucleoside	ToyB
nucleoside	TunD
oligosaccharide	DUF1205
oligosaccharide	Glycos_transf_1
oligosaccharide	Glycos_transf_2
oligosaccharide	Glyco_transf_28
oligosaccharide	MGT
oligosaccharide	MGT2
otherks	hglD
otherks	hglE
otherks	ksIII
otherks	t2ks2
other	AMP.binding
other	A.OX
other	bacilysin
other	bcpB
other	CaiA
other	cycdipepsynth
other	fom1
other	frbD
other	LmbU
other	mitE
other	NAD_binding_4
other	Neocarzinostat
other	orf2_PTase
other	PP.binding
other	prnB
other	vlmB
phenazine	phzB
phosphoglycolipid	moeGT
phosphoglycolipid	MoeO5
phosphonate	phosphonates
proteusin	PoyD
resorcinol	DarB
sactipeptide	subtilosin
sactipeptide	thuricin
siderophore	IucA_IucC
t1pks	ene_KS
t1pks	hyb_KS
t1pks	itr_KS
t1pks	mod_KS
t1pks	PKS_AT
t1pks	PKS_KS
t1pks	tra_KS
t2pks	t2clf
t2pks	t2ks
t3pks	Chal_sti_synt_C
t3pks	Chal_sti_synt_N
terpene	fung_ggpps
terpene	fung_ggpps2
terpene	Lycopene_cycl
terpene	NapT7
terpene	phytoene_synt
terpene	terpene_cyclase
terpene	Terpene_synth
terpene	Terpene_synth_C
terpene	trichodiene_synth
thiopeptide	Lant_dehyd_C
thiopeptide	Lant_dehyd_N
thiopeptide	thiostrepton
thiopeptide	YcaO
transatpks	ATd
transatpks	ene_KS
transatpks	hyb_KS
transatpks	itr_KS
transatpks	mod_KS
transatpks	PKS_KS
transatpks	tra_KS
