"","PUFA","PUFA.otherks","PUFA.t1pks","arylpolyene","arylpolyene.ladderane","arylpolyene.resorcinol","arylpolyene.t3pks","bacteriocin","bacteriocin.proteusin.lantipeptide","bacteriocin.terpene","butyrolactone","ectoine","hserlactone","hserlactone.lassopeptide","ladderane","ladderane.bacteriocin","lantipeptide","lantipeptide.bacteriocin","lassopeptide","microcin","nrps","nrps.lantipeptide","nrps.lantipeptide.t1pks","nrps.t1pks","nrps.t1pks.lantipeptide","nrps.t1pks.otherks","nucleoside","other","otherks","otherks.nrps.t1pks","phenazine","phosphonate","resorcinol","resorcinol.arylpolyene","siderophore","t1pks","t1pks.nrps","t1pks.otherks","t2pks","t3pks","t3pks.arylpolyene","terpene"
"TARA_004_DCM_0.22-1.6",0,0,0,1167.8327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,785.2618,253.4452,0,0,468.7061,0,0,0,63.0717,0,0,0,229.343,0,4981.9556
"TARA_004_SRF_0.22-1.6",0,0,0,440.58731,0,0,0,253.099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103.46,0,0,0,588.217,0,0,0,76.4072,0,8601.67929
"TARA_007_DCM_0.22-1.6",0,0,0,0,0,0,0,853.4549,0,0,0,0,351.2648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147.2675,0,0,0,89.1872,0,0,0,0,0,0,0,0,1255.3221
"TARA_007_SRF_0.22-1.6",0,0,0,162.5068,0,0,0,193.9556,0,0,0,0,0,0,0,0,0,0,0,0,2730.979,0,0,0,0,0,577.87,0,437.015,0,0,0,0,0,80.6441,0,0,0,0,273.665,0,3439.48398
"TARA_009_DCM_0.22-1.6",0,0,0,818.2023,0,0,0,574.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,378.3739,396.3731,0,0,339.7684,185.048,0,0,410.367,0,0,0,50.6308,0,8176.1686
"TARA_009_SRF_0.22-1.6",0,0,0,1558.24086,0,0,0,1253.3839,0,28.2508,0,0,1474.617,0,0,0,0,0,607.757,0,265.217,0,0,0,0,0,595.462,1168.57,289.1224,0,0,0,0,0,0,0,0,0,0,803.888,0,11406.2439
"TARA_018_DCM_0.22-1.6",0,0,0,815.9069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,710.861,0,0,0,1976.03,0,0,1517.352,0,0,0,538.2532,0,10481.80501
"TARA_018_SRF_0.22-1.6",0,0,0,621.4774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.6636,0,0,0,707.561,0,0,476.569,0,0,0,681.7815,0,10044.99221
"TARA_023_DCM_0.22-1.6",0,0,0,592.9451,0,0,0,894.889,0,0,0,0,224.67,0,0,0,0,0,0,0,295.472,0,0,0,0,0,0,617.114,0,0,0,246.989,102.097,0,0,0,0,0,0,220.2035,0,3383.5323
"TARA_023_SRF_0.22-1.6",0,0,0,412.5202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164.8573,0,0,0,0,0,0,0,0,0,0,0,0,0,1691.9262
