"","A.OX","AMP.binding","ATd","AfsA","Autoind_synth","BLS","Bacteriocin_IIc","CaiA","Chal_sti_synt_C","Chal_sti_synt_N","Condensation","DOIS","DUF1205","DUF692","Gallidermin","Glyco_transf_28","Glycos_transf_1","Glycos_transf_2","IucA_IucC","LANC_like","Lactococcin","Lactococcin_972","Lant_dehyd_C","Lant_dehyd_N","Linocin_M18","LipV","Lycopene_cycl","MGT","NAD_binding_4","NapT7","PF00067","PF00106","PF02441","PF04820","PF13561","PF13575","PKS_AT","PKS_KS","PP.binding","TIGR03604","TIGR03651","TIGR03693","TIGR03793","TIGR03795","TIGR03798","TIGR03882","TIGR03975","Terpene_synth","Terpene_synth_C","ToyB","TunD","YcaO","bacilysin","bcpB","botH","bt1fas","cyanobactin_synth","cycdipepsynth","cypI","dmat","ectoine_synt","fabH","fom1","frbD","ft1fas","fung_ggpps","fung_ggpps2","goadsporin_like","hglD","hglE","indsynth","micJ25","mmyO","mvd_mst","nikJ","novH","phosphonates","phytoene_synt","phzB","prnB","salQ","spcDK_like_cou","spcDK_like_glyc","strK_like1","strK_like2","t2clf","t2fas","t2ks","t2ks2","tabtoxin","terpene_cyclase","trichodiene_synth"
"TARA_004_DCM_0.22-1.6",35075,1162495,8,0,42,0,0,0,155,201,890,0,1,448,0,15690,180203,174175,21,28,0,0,3,0,0,0,43139,476,160278,5,151540,265402,37124,25865,295956,100,71016,4839,25344,0,0,0,0,0,1884,0,60,0,0,31,3,121,0,0,0,10,0,0,0,0,31,72745,561,0,12,9,1,0,247,608,0,1531,0,0,0,0,1862,30622,3,0,9,144,109,0,0,0,179715,519,0,0,600,0
"TARA_004_SRF_0.22-1.6",29561,1165696,3,0,127,0,2,1,434,615,1425,0,4,625,0,15791,172561,160785,71,22,0,0,0,0,0,0,61177,262,139759,19,114068,247411,36735,33559,279688,49,67716,4405,24892,0,0,0,0,0,2819,0,4,0,0,25,0,207,0,0,0,10,0,0,0,0,57,55870,399,0,66,28,5,1,174,555,0,988,1,0,0,0,598,36193,0,0,13,236,288,0,0,0,177180,637,1,0,607,0
"TARA_007_DCM_0.22-1.6",15267,499979,2,0,582,0,15,0,203,269,726,0,2,2198,0,3763,61344,58849,97,5,0,3,5,1,45,0,11881,840,54374,10,51228,101150,14958,29930,106762,20,23001,2473,10890,0,0,0,0,0,1019,1,6,0,3,3,0,103,0,0,0,5,0,0,0,0,29,26828,160,0,2,3,0,0,33,170,0,1194,0,0,0,0,179,11501,0,0,3,121,52,0,1,0,78032,309,0,0,250,0
"TARA_007_SRF_0.22-1.6",22373,635862,2,0,149,0,4,0,211,289,4008,0,1,931,0,5201,88653,69234,139,3,0,0,12,0,3,0,16405,143,73347,5,58037,144719,23061,23289,181430,1,34940,1456,16527,0,0,0,0,0,619,0,9,0,0,11,0,290,0,0,0,0,1,0,0,0,75,36215,177,0,1,0,0,0,25,81,0,639,0,0,0,0,170,14735,0,0,1,152,102,0,0,1,123792,591,0,0,295,0
"TARA_009_DCM_0.22-1.6",36306,1152662,1,0,50,0,0,2,187,280,1012,1,0,492,0,12675,157855,152278,44,29,0,0,3,1,1,0,30595,399,132042,11,136317,257150,35415,26209,277796,16,63281,7590,24318,0,0,0,0,0,561,1,95,1,4,19,2,133,0,0,0,3,0,0,0,0,47,59135,454,0,7,9,1,0,869,1898,0,1446,2,0,0,1,2162,25451,2,0,4,109,68,0,0,0,153457,685,0,0,891,0
"TARA_009_SRF_0.22-1.6",25985,1587572,5,0,324,0,1,0,948,1356,3536,0,0,1135,0,14132,174210,198797,56,19,0,0,7,3,0,0,34964,586,133335,6,275560,234570,33589,26771,266351,4,64124,18245,25993,0,0,0,0,0,1845,8,3,14,12,38,1,701,0,0,0,12,0,0,0,0,106,59011,106,0,32,51,8,0,132,415,0,1041,0,0,0,0,230,29140,0,0,15,110,201,0,0,0,171386,600,3,0,1246,0
"TARA_018_DCM_0.22-1.6",25697,1005961,7,0,30,0,0,3,278,425,1597,0,1,201,0,14458,176298,164306,18,16,0,0,2,0,0,0,53273,173,139563,15,122277,219637,33140,21342,225882,0,63638,4482,22735,0,0,0,0,0,2471,1,5,0,1,21,4,125,0,0,0,3,0,0,0,0,53,59247,309,0,39,21,3,0,93,272,0,1152,4,0,0,0,594,33993,1,0,9,164,159,0,0,0,154616,647,4,0,635,0
"TARA_018_SRF_0.22-1.6",29055,987772,3,0,30,0,0,1,263,401,1452,0,0,272,0,14028,181745,162881,13,9,0,0,2,0,0,0,51188,220,141581,16,115652,220708,34634,21908,241420,3,65769,3446,23348,0,0,0,0,0,2079,2,13,0,1,19,1,108,0,0,0,8,0,0,0,0,38,55758,315,0,15,11,3,0,53,176,0,1118,1,0,0,0,784,32610,0,0,8,115,135,0,0,0,159341,574,0,0,662,0
"TARA_023_DCM_0.22-1.6",17580,550260,8,0,128,0,0,0,382,453,613,0,0,540,0,3837,68994,45233,137,14,1,0,0,0,34,0,10964,233,53962,13,50027,117430,15882,14306,121651,14,23538,2950,11045,0,0,0,0,0,745,0,6,0,2,3,0,313,0,1,0,1,0,0,0,0,29,23227,120,0,4,24,5,0,69,243,0,785,0,0,0,0,324,9318,0,0,1,131,88,0,0,0,82513,313,1,0,286,0
"TARA_023_SRF_0.22-1.6",14584,559837,5,0,139,0,0,0,285,297,450,0,0,420,0,3081,59262,40765,56,12,0,0,0,0,16,0,8989,166,46139,10,41991,104586,16043,13022,118625,1,22540,2901,10575,0,0,0,0,0,253,0,5,1,2,5,0,172,0,0,0,5,1,0,0,0,19,18961,56,0,10,17,7,0,145,365,0,651,3,0,0,1,160,9010,0,0,1,81,54,0,0,0,83514,320,0,1,289,0
