"","PUFA","amglyccycl","arylpolyene","bacteriocin","butyrolactone","cyanobactin","ectoine","furan","fused","hserlactone","indole","ladderane","lantipeptide","lassopeptide","microcin","microviridin","nrps","oligosaccharide","other","otherks","phosphonate","resorcinol","sactipeptide","siderophore","t1pks","t2pks","t3pks","terpene","thiopeptide","transatpks"
"sim_meta_oms-1",0,4.16431,24.1238424,142.199326,4.02582,0,25.03422,0,4.06001,3.84875,4.20514,7.22535,40.41522,2.82107,0,0,71.615706,0,28.58348,8.34066,0,0,0,29.755341,31.6789,3.96458,40.698989,137.01689875,4.21363,0
"sim_meta_oms-10",10.788735,2.38018,44.153251,205.593131,7.4800343,7.41185,16.853955,0,0,17.177916,1.27071,0,16.9680057,0,0,0,42.7091167,0,47.147376,11.62404,0,0,0,17.611753,9.432595,2.70626,17.997666,122.3835455,0,3.30277
"sim_meta_oms-100",5.771991,0,51.78779,78.6954893,0.150005,2.300476,11.634559,0,0,13.949,1.27418,1.26777,1.200713,3.561224,12.5196,1.889236,21.6472159,0,34.796623,14.703163,8.119258,2.017645,6.07582,3.618008,12.1961365,0,10.932803,84.861864,0,0
"sim_meta_oms-101",0.549876,0,16.982271,183.033898,0,0,11.812872,0,0,28.514959,0,0,12.50259,2.18719,0,0,50.25761,0,6.501831,7.983372,5.20804,0,0,22.6443,9.623833,0,29.608903,122.649601,0,6.25423
"sim_meta_oms-102",6.144906,1.5004,55.651528,185.140108,0.254444,5.468897,24.8300756,0,0,8.624657,0,0.383274,10.07726,0,0,0,30.736913,0,10.540012,12.54486,2.11503,1.809671,0,21.209753,1.404032,3.110775,14.270408,85.3751675,0,3.453473
"sim_meta_oms-103",1.501639,8.06935,2.468321,131.9792986,8.16543,43.6426,18.3337156,0,7.83999,36.190777,7.58658,8.04494,27.28786,3.53506,0,0,118.7370899,6.63808,21.319831,55.217934,1.960532,3.87751,0,13.519605,62.255125,8.18325,20.5183,116.14106,7.97171,0
"sim_meta_oms-104",0.414009,1.46426,24.600304,208.265732,0,13.64912,13.416611,0,0,29.643592,0,0,10.7315,8.139831,0,0,22.298193,0,13.94113,41.321319,4.47246,0,0,50.100767,5.54127,2.62915,26.848625,96.626751,0,2.48512
"sim_meta_oms-105",2.450687,0,13.66544,49.883219,0,0,23.338117,0,0,7.907772,0,12.4376,38.1802,12.094627,0,0,41.84252,0,14.75907,0,1.60986,0,0,13.81928,12.975668,0,0,109.746133,0,0
"sim_meta_oms-106",6.23326,2.96991,26.9469,117.42542,7.04769,5.48529,12.518495,0,3.14555,22.676005,2.85777,3.33343,19.78474,24.85758,0,0,65.352874,2.66884,41.59716,8.75691,2.55419,4.422875,0,13.31571,47.741486,3.23486,15.707686,88.6770804,3.45816,0
"sim_meta_oms-107",6.861608,9.81671,21.177861,93.6941065,17.3873,0,22.503081,0,5.84959,18.9617352,8.50765,10.11303,45.56916,0,0,0,73.473717,0,23.239188,13.71961,0,3.37573,0,31.654507,46.3144906,15.06628,27.97489,93.369324,5.4253,0
"sim_meta_oms-108",0,0,17.4152483,83.509349,5.71773,0,22.55871057,0,0,21.11403,0,0,9.32916,6.016081,0,0,48.308354,0,40.20528,6.69259,2.00654,2.362484,0,11.132788,17.815154,4.22816,26.65936,117.657946,0,0.456413
"sim_meta_oms-109",1.86946,1.8861,15.09212,81.553573,0,0,36.993242,0,0,25.69129,2.10453,0,5.440247,60.896819,0,0,37.09181,0,1.30821,0,0,7.90422,0,12.26065,22.36084,4.34764,3.284938,72.912913,0,0
"sim_meta_oms-11",8.61571,3.86455,27.671004,180.552748,4.45031,2.072135,18.312756,0,4.59518,22.90626,5.51807,5.42021,17.93766,9.97218,0,3.13653,35.080639,3.35104,26.112599,25.27851,10.3527,7.529328,0,10.01509,30.867705,4.17648,35.567558,131.229842,3.92893,0
"sim_meta_oms-110",3.87667662,0,37.08942757,149.48705591,0,0,14.581002,0,0,16.465521,0,0,3.56584,28.733961,0,0,47.128734,0,10.923603,9.7202,1.998208,1.191219,5.43077,17.52111008,14.917514,0.303187,12.974701,92.274464,0,0
"sim_meta_oms-111",5.9017,1.58204,10.401677,92.030464,1.30295,0.637102,20.032595,1.35475,1.47907,21.3471217,0,0,7.00971,2.970844,0,0,33.822417,0,34.847703,0,6.221348,0.531101,0,16.73581,8.1981566,2.82879,10.587115,120.725843,0,4.71999
"sim_meta_oms-112",0.0071733,5.22847,14.090813756,138.2165739,5.43927,1.272301,14.140378,0,4.75878,10.311835,0,0,8.344591,9.630226,53.5238,0,45.662321,0,15.548735,3.11184,4.03231,0.427839,0,18.767084,16.28985,9.92589,12.356096,85.722545,0,8.10665
