"","PUFA","amglyccycl","arylpolyene","bacteriocin","butyrolactone","cyanobactin","ectoine","hserlactone","indole","ladderane","lantipeptide","lassopeptide","linaridin","melanin","microcin","microviridin","nrps","nucleoside","oligosaccharide","other","otherks","phenazine","phosphonate","resorcinol","siderophore","t1pks","t2pks","t3pks","terpene","thiopeptide","transatpks"
"sim_meta_tgs-1",2.24988,0,18.11892,102.472526,1.57616,0,7.94909,8.98673,1.73114,0,6.30321,5.46667,3.58374,0,0,0,99.976718,0,0,27.93055,5.41605,0,0,5.07763,23.893725,13.865209,0,19.3246,109.2896598,0,0
"sim_meta_tgs-10",2.67885,0,12.291545,63.9289591,1.58044,0,9.552187,22.006448,0,4.87845,2.44947,0.289295,0,0,4.62444,0.978755,53.955272,0,0,12.823041,3.78882,0,0,0,3.80832,10.31542,0,16.062773,72.641562,0,1.03161
"sim_meta_tgs-100",0,0,25.189329,39.719593,3.06674,0,5.454628,21.1892138,0,4.29694,0.317536,7.73207,0,0,0,0,59.71808528,0,0,40.900366,8.78898,0,2.38237,0,15.73435,8.392987,0,15.927339,115.119657,5.64405,0
"sim_meta_tgs-101",0,0,27.423203,75.452221,1.07129,5.39821,21.004097,22.347758,5.98049,0,32.34849,3.72639,1.8969,4.23193,0,2.27029,87.124925,0,3.66857,57.713384,17.91346,0,6.20316,6.28071,36.556424,43.602052,5.84752,16.985759,121.75329,0,7.63973
"sim_meta_tgs-102",0,0,11.4119083,59.668669,4.1546,1.55741,31.190333,11.30326,5.13902,4.0125,13.288274,5.387467,2.23819,0,0,0,79.3334036,2.66269,2.62036,30.417316,8.33122,0,1.35312,22.46217,13.271484,37.228595,12.67486,15.94122,114.0923556,8.67089,1.26384
"sim_meta_tgs-103",0,0,25.923593,92.433456,0,0,11.11308,31.07792,5.35271,0,9.3342,6.33184,0,0,13.38101,5.3593,78.555514,0,0,35.811312,17.359004,0,7.27017,5.8951,23.066995,42.879958,0,17.712266,103.956822,0,5.38753
"sim_meta_tgs-104",2.39103,0,26.478589,66.568624,5.37211,0,2.717007,45.705339,0,4.7464,17.744488,2.098559,0,0,9.40167,0,86.781327,0,0,20.559184,5.859273,0,12.623083,2.70318,22.0604,2.650446,0,11.833013,58.478104,0,0
"sim_meta_tgs-105",0,0,36.247638,90.42021,2.94566,0,8.71413,1.47887,19.82549,8.35441,0,1.1008,0,0,0,0,70.469187,0,0,43.08513,24.85166,0,1.09797,0,13.7470291,19.136426,0,5.3226,110.390932,0,0
"sim_meta_tgs-106",0,0,45.32576,127.879683,0,0,11.26104,17.6764863,0,0,6.99981,28.230436,0,0,0,0,76.38838,0,0,29.8513,14.77141,0,0.953078,0,33.683238,12.77294,6.63467,11.93329,91.942655,8.82513,0
"sim_meta_tgs-107",0,0,37.625724,66.0856489,1.97243,0,2.62487,22.514053,0,3.66027,11.130639,0,0,0,4.6108,0,46.38038596,0,0,9.064029,6.24901,0,3.02285,9.438817,34.2219,8.627638,0,12.21524,78.2307063,0,0
"sim_meta_tgs-108",0,0,41.12087,63.189609,3.41011,0,6.23845,40.434261,0,0,2.63249,11.5645,4.42627,0,0,0,110.749229,0,0,48.771571,4.029337,0,8.23362,3.03938,21.521124,0.722247,0,17.72876,84.33401,6.49179,1.82273
"sim_meta_tgs-109",0,0,47.06269,91.176627,0,0,14.098952,9.25022,0,2.20794,5.95549,17.73706,0,0,0,0,76.74549,3.45887,0,13.48619,9.4046,0,6.86565,5.81973,17.83421,19.583218,4.27633,30.009906,104.815881,5.93705,0
"sim_meta_tgs-11",1.20344,0,38.52957,81.07137,0,4.25187,3.73785,46.56718,0,0,2.89507,0,0,0,0,0,32.507375,0,0,26.34779,16.54219,0,2.36675,5.243115,41.58323,6.21626,0,11.206418,103.45006,2.67294,4.02532
"sim_meta_tgs-110",2.70219,1.89284,26.438901,48.591755,0,0,17.743329,15.165852,1.10453,0,21.082997,3.582388,0,3.24197,0,0,45.188375,0,1.09995,37.039526,18.069972,0,1.43887,8.11810702,20.603508,18.057073,1.853952,23.337779,111.21733,1.79116,0
"sim_meta_tgs-111",0,0,21.789146,90.3989958,0,0,29.211777,16.989572,8.745398,10.017324,37.330135,8.179991,0,4.53139,6.88466,5.68722,103.809587,6.71988,4.55155,63.977421,23.964935,2.9493,31.538286,10.701537,13.665694,67.944746,7.761505,35.734443,123.741919,3.22968,5.56623
"sim_meta_tgs-112",0,0,24.186417,62.517357,4.26906,1.79939,12.69795,11.76199,1.95031,1.9154,5.493425,10.4991,4.34065,0,0,3.31835,66.07641,0,0,34.64217,9.918656,0,1.43246,3.02558,26.628313,32.816408,4.26991,27.23486,127.561401,11.7746,1.74701
"sim_meta_tgs-113",0,0,45.643247,100.4009292,0,0,14.010764,25.581891,4.28252,4.21647,22.42302,8.885106,0,0,7.13484,0,57.75050012,1.84821,1.84406,37.407811,4.80551,0,3.007826,0.015047,4.043608,18.072937,5.92054,16.860955,112.97459,0,0
"sim_meta_tgs-114",2.26256,0,23.176185,43.532644,3.84756,0,5.737227,12.940602,0,0,12.137901,0.629262,0,0,0,0,40.934842,1.16329,0,16.949382,0,0,6.032856,6.921226,16.26371,6.830446,3.807409,24.839799,108.199224,1.52918,0
"sim_meta_tgs-115",0,0,26.697352,69.837936,0,1.682355,31.1518573,18.840865,4.906755,2.235708,32.376716,6.588495,0,4.80592,7.23872,1.619227,75.988198,0,4.14997,55.835665,5.900172,0,4.58372,1.97625,14.994729,40.12546,7.72676,13.612014,106.861002,0,0.566432
"sim_meta_tgs-116",0,0,41.317845,76.944502,0,0,7.377544,40.452271,1.596075,4.7629,19.708839,6.38662,0,1.27113,7.98809,3.61196,101.373324,0,1.31474,28.714781,11.767831,3.69201,6.05536,11.87859,20.40019,22.60084,2.057762,19.814684,97.664105,4.31362,3.18601
"sim_meta_tgs-117",0,0,30.660747,58.220402,2.16733,0,5.345303,23.861269,0,0,7.104001,5.629451,0,0,0,0.511364,69.425099,0,0,24.427147,7.57166,0,5.21506,0,24.583935,7.066067,1.91986,22.580615,89.5449595,0.811817,0
