"","A.OX","AMP.binding","ATd","AfsA","Autoind_synth","Bacteriocin_II","Bacteriocin_IIc","Bacteriocin_IId","CaiA","Chal_sti_synt_C","Chal_sti_synt_N","Condensation","DOIS","DUF1205","DUF692","Glyco_transf_28","Glycos_transf_1","Glycos_transf_2","IucA_IucC","LANC_like","Lactococcin","Lant_dehyd_C","Lant_dehyd_N","Linocin_M18","LipV","LmbU","Lycopene_cycl","MGT","NAD_binding_4","NapT7","PF00067","PF00106","PF02441","PF04820","PF13561","PF13575","PKS_AT","PKS_KS","PP.binding","TIGR03651","TIGR03678","TIGR03731","TIGR03793","TIGR03795","TIGR03798","TIGR03882","TIGR03975","TIGR04363","Terpene_synth_C","ToyB","TunD","YcaO","botH","bt1fas","cyanobactin_synth","cycdipepsynth","cypI","ectoine_synt","fabH","fom1","goadsporin_like","hglD","hglE","indsynth","lasso","melC","micJ25","mvd_mst","mvnA","novH","phosphonates","phytoene_synt","phzB","prnB","salQ","spcDK_like_cou","spcDK_like_glyc","strK_like1","strK_like2","strepbact","t2clf","t2fas","t2ks","t2ks2","tabtoxin","terpene_cyclase","thiostrepton"
"sim_meta_tgs-1",534,15557,0,5,13,1,0,0,0,33,38,2411,0,0,113,258,2222,2746,75,12,5,5,1,27,0,0,113,110,1413,5,1001,3945,285,667,2119,2,592,110,663,0,0,0,3,0,2,14,0,0,6,0,1,219,0,83,0,0,0,10,904,0,0,8,38,15,0,0,23,0,5,0,8,247,0,0,11,6,0,0,0,0,0,1200,13,0,0,20,0
"sim_meta_tgs-10",180,11497,0,0,34,0,0,0,0,13,30,991,0,1,123,193,2197,2137,2,9,0,5,2,28,0,0,12,122,1422,3,317,3238,274,434,1898,0,546,220,404,2,0,0,0,0,8,0,2,0,2,1,0,149,0,0,0,0,0,18,726,7,0,12,23,0,0,0,14,0,0,0,11,155,0,0,0,6,3,0,0,0,0,1324,7,0,0,10,0
"sim_meta_tgs-100",284,14288,0,6,25,0,0,0,0,24,31,1550,0,0,74,191,2833,2643,79,1,0,3,0,39,0,0,76,95,1307,0,501,3320,282,358,2110,5,589,210,528,0,0,0,0,0,9,1,5,0,17,0,1,68,0,36,0,0,0,9,656,0,0,0,27,0,0,0,35,0,0,0,26,320,0,0,0,6,2,0,0,0,0,1254,7,0,0,79,0
"sim_meta_tgs-101",382,16257,175,0,59,0,0,0,0,37,30,1539,0,0,160,179,2229,2312,186,61,0,12,13,22,1,9,16,190,1356,6,1455,3709,292,359,2119,14,1346,2202,844,0,0,0,0,7,0,7,12,0,37,0,0,224,3,7,33,3,1,18,732,18,0,40,85,3,0,0,3,1,0,0,46,268,11,0,0,1,1,1,0,0,29,1200,40,28,4,99,0
"sim_meta_tgs-102",317,14689,36,9,33,0,0,0,0,23,27,2176,0,0,120,193,1926,1995,58,23,0,2,0,55,0,2,55,203,1374,11,1231,3836,357,341,1953,6,1360,1412,804,0,0,0,0,0,0,0,0,0,55,0,13,197,0,28,11,6,0,49,880,14,12,15,61,29,0,0,32,0,0,0,3,229,0,0,0,0,2,0,0,0,32,1457,62,7,1,36,0
"sim_meta_tgs-103",304,14365,40,0,39,0,0,0,0,19,18,1491,0,0,197,193,2129,2106,77,27,0,16,4,31,0,0,56,114,1242,0,1155,3565,306,729,2111,23,1142,1528,766,2,0,0,0,0,1,17,1,0,54,0,0,199,0,3,0,0,0,22,749,0,0,49,60,1,0,0,15,13,0,0,26,201,15,0,0,1,0,0,0,0,0,1203,3,0,2,99,0
"sim_meta_tgs-104",311,13710,1,2,64,0,0,0,0,26,22,1124,0,0,125,190,1850,2077,98,28,0,0,0,23,0,0,17,163,1404,0,383,3454,286,405,2206,16,578,274,462,9,0,0,0,6,0,0,0,0,6,0,0,140,0,0,0,0,0,9,704,3,0,35,50,0,0,0,21,0,0,0,58,235,0,16,0,3,2,0,0,0,0,1461,6,0,0,36,0
"sim_meta_tgs-105",360,14318,2,7,1,0,1,0,0,20,15,1055,1,1,106,170,2368,2560,20,21,0,0,0,17,0,0,42,81,1375,13,1156,3213,199,460,1481,0,530,285,451,1,0,0,0,0,0,10,0,0,6,0,0,32,0,26,45,0,0,17,717,22,0,49,86,42,0,0,8,0,0,0,7,162,0,0,9,0,0,0,0,0,0,1011,4,0,0,68,0
"sim_meta_tgs-106",371,12885,0,0,40,0,0,0,0,36,25,1178,0,0,124,194,2316,2363,79,27,0,0,0,59,0,2,10,165,1387,5,1707,3520,313,661,1965,2,607,383,489,0,0,0,0,0,3,0,21,0,89,0,1,185,0,0,0,0,0,18,798,0,0,8,26,0,0,0,28,0,0,0,9,121,6,0,0,0,2,0,0,0,45,1323,36,0,2,14,0
"sim_meta_tgs-107",101,10238,2,2,30,0,0,0,0,21,20,644,0,0,111,219,2525,2845,87,56,4,50,8,22,0,0,33,114,1442,0,417,2549,394,365,1692,3,769,325,421,3,0,2,0,0,3,5,0,0,5,0,0,167,0,2,0,0,0,8,766,2,0,15,58,0,0,0,16,0,2,0,13,196,0,11,0,3,0,0,0,0,0,1623,6,0,0,45,0
"sim_meta_tgs-108",308,11750,0,1,80,0,0,0,0,42,53,1363,0,0,99,195,2026,2264,95,15,0,6,0,25,0,0,31,114,1333,1,338,3354,323,707,2231,1,654,336,522,8,0,0,4,0,5,0,0,0,3,0,0,185,0,2,0,0,1,14,670,0,0,24,29,0,0,0,66,0,0,0,22,284,0,12,0,4,1,0,0,0,0,1438,0,0,0,54,0
"sim_meta_tgs-109",377,12442,2,0,12,0,0,0,0,77,58,630,0,0,132,188,2142,2234,77,24,0,0,0,14,0,3,4,119,1171,3,1341,3633,305,316,2049,0,569,286,427,17,0,0,0,0,1,4,15,0,41,0,0,197,0,0,16,0,0,18,626,0,0,0,10,0,0,0,25,0,0,0,9,217,4,0,0,5,4,0,0,0,28,1646,26,0,6,18,0
"sim_meta_tgs-11",336,11510,110,0,70,0,0,0,0,23,21,596,0,0,137,203,2322,2556,231,2,0,5,0,18,0,0,0,122,1406,1,364,3007,323,560,1840,0,646,616,492,0,0,0,0,0,3,0,3,0,0,0,0,163,0,24,22,0,0,9,700,0,0,39,66,0,0,0,33,0,0,0,5,216,0,0,0,2,3,0,0,0,0,1469,5,23,0,89,0
"sim_meta_tgs-110",273,11310,1,0,18,0,1,0,0,37,23,536,0,1,77,181,2162,2391,71,42,0,43,5,22,1,1,23,117,1207,4,599,2851,285,433,1658,16,816,616,437,2,0,0,0,0,4,2,43,0,21,0,0,203,0,30,19,2,0,19,706,8,1,59,131,0,0,0,25,0,0,0,11,156,0,10,9,4,5,1,0,0,15,1279,34,0,1,81,0
"sim_meta_tgs-111",380,17391,144,0,24,0,0,0,0,50,53,1550,0,0,168,197,2331,1730,65,61,0,32,11,35,1,12,16,207,1244,12,1628,3693,287,290,1870,9,1376,2437,866,4,0,0,2,0,0,17,11,0,93,0,0,245,0,0,0,7,0,31,637,17,1,52,85,4,0,0,18,7,0,0,65,196,13,9,0,1,2,0,0,0,40,1007,53,17,4,19,0
"sim_meta_tgs-112",481,17656,3,5,23,0,0,0,0,37,36,2003,0,0,86,191,2431,2317,134,42,1,23,1,25,0,0,48,166,1266,6,1159,4092,262,273,2195,7,899,810,621,0,3,0,0,7,11,6,0,0,20,4,13,141,4,30,16,0,0,19,635,0,8,36,54,21,0,0,25,3,0,0,3,296,0,0,0,0,0,0,0,0,24,1159,26,0,1,103,0
"sim_meta_tgs-113",175,10854,0,0,25,0,1,0,0,24,35,1040,0,0,238,224,2326,2693,17,14,0,4,0,67,0,2,28,121,1237,5,580,2884,315,478,1819,18,813,571,500,4,0,0,0,0,0,0,0,0,20,0,6,96,0,23,0,3,0,24,856,0,0,4,38,16,0,0,15,0,0,0,14,287,0,0,0,5,2,0,0,0,19,1452,38,0,0,80,0
